page,button_text,handler,target_route_or_api,status,button_type
frontend/src/pages/HospitalAdmin/Approvals.jsx,Simulate,() => simulatePolicy(row.requestType),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/CommerceConfig.jsx,(dynamic/no-text),save,(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/CommerceConfig.jsx,Add Insurance Provider,"() => setInsuranceProviders((prev) => [...prev, emptyInsurance()])",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/CommerceConfig.jsx,Add Payment Method,"() => setPaymentMethods((prev) => [...prev, emptyPayment()])",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/CommerceConfig.jsx,Open Branding & Customization,"() => navigate(""/hospital-admin/customization"")",/hospital-admin/customization,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/CommerceConfig.jsx,Remove,"() => setInsuranceProviders((prev) => prev.filter((_,i) => i !== idx))",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/CommerceConfig.jsx,Remove,"() => setPaymentMethods((prev) => prev.filter((_,i) => i !== idx))",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Announcements,"() => navigate(""/notifications"")",/notifications,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Attendance Heatmap,"() => navigate(""/reports"")",/reports,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Branding & Customization,"() => navigate(""/hospital-admin/customization"")",/hospital-admin/customization,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Budget Overview,"() => navigate(""/reports"")",/reports,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Incident Reports,"() => navigate(""/hospital-admin/approvals"")",/hospital-admin/approvals,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Insurance & Payments,"() => navigate(""/hospital-admin/commerce-config"")",/hospital-admin/commerce-config,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Leave Approvals,"() => navigate(""/hospital-admin/approvals"")",/hospital-admin/approvals,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Machine Connectivity,"() => navigate(""/hospital-admin/machine-connectivity"")",/hospital-admin/machine-connectivity,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Open Machine Connectivity Console,"() => navigate(""/hospital-admin/machine-connectivity"")",/hospital-admin/machine-connectivity,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Recruitment Ads,"() => navigate(""/hospital-admin/recruitment-ads"")",/hospital-admin/recruitment-ads,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Recruitment Requests,"() => navigate(""/hospital-admin/register-staff"")",/hospital-admin/register-staff,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Shift Calendar,"() => navigate(""/workforce/requests#shift"")",/workforce/requests#shift,MANUAL_REVIEW_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Staff Directory,"() => navigate(""/hospital-admin/staff"")",/hospital-admin/staff,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Staff Directory,"() => navigate(""/hospital-admin/staff"")",/hospital-admin/staff,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/Dashboard.jsx,View Machine Alerts,"() => navigate(""/hospital-admin/machine-alerts"")",/hospital-admin/machine-alerts,VERIFIED_ROUTE,button
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,(dynamic/no-text),(none),(manual),MANUAL_REVIEW,submit
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,Activate,"() => setStatus(ad._id, ""ACTIVE"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,Close,"() => setStatus(ad._id, ""CLOSED"")",(manual),MANUAL_REVIEW,button
